"Gene","DPI01.lfc","DPI01.padj","DPI05.lfc","DPI05.padj","DPI07.lfc","DPI07.padj","DPI15.lfc","DPI15.padj","DPI21.lfc","DPI21.padj","DPI28.lfc","DPI28.padj"
"5_8S_rRNA",-0.00674832776096588,0.918974800039335,-0.0367605781102132,0.664233891934462,-0.132059735639152,0.55925334661464,0.0896813665923741,0.510225896858551,0.0318029822107519,0.619685462697343,-0.025529934140427,0.746347118156631
"5S_rRNA",-0.00730608516404179,0.968505422567119,-0.93408778331098,0.0759143813327282,-0.176985250915815,0.634277763532081,-0.562956894239291,0.114020884153858,-0.13070592470341,0.298432645701543,0.0263643651634107,0.905580436560504
"A1BG",0.00514335802544268,0.982034685710987,-0.0492389223186745,0.829266650475811,-0.373917183726596,0.326496578381573,-0.191052073457378,0.486457026923726,-0.041961407085263,0.819960458426784,-0.0186095282777318,0.941432684741643
"A1CF",-0.000829947454921544,NA,-0.0457117663152354,NA,0.0597812030560694,0.8427192642803,-0.000780914711035846,NA,-0.0092675013807941,NA,0.0113259505830168,NA
"A2ML1",0.0744971877787983,0.398381759005689,0.0062850938786099,0.986580065046866,0.0208494478132071,0.972568067723115,0.60665088101824,0.109289340003928,0.0728904765127781,0.687381000782966,0.138063829150775,0.456823922973222
"A3GALT2",-0.0132831858364246,0.968505422567119,-1.14621578663065,0.000866214766289841,-0.534953588026894,0.0837166136502427,-1.14232495676131,0.000587860009807521,-0.735279991888916,0.0379786734783009,-0.233399600371768,0.365841568948662
"A4GALT",0.00309908650093193,0.990075828528943,-0.0694978489310994,0.821321309122534,0.0408850746719941,0.919872063041644,-0.13808823920725,0.647270257782303,-0.0740701659791911,0.75460239941656,0.112685883533878,0.67772277905911
"AAAS",-0.00162670114825769,0.995817422894592,-0.245840100146931,0.353916220202616,-0.459341418217823,0.0757728111190734,-0.250832821158486,0.329520828911513,-0.0403966619382473,0.912253583123531,-0.00508913863065794,0.993087515911016
"AACS",0.0158243244405236,0.973540642957163,-0.100341485125425,0.719764893003162,-0.485770825378174,0.0209342740284356,-0.481530781566195,0.0232276545488115,-0.0280856599382921,0.946219266726217,0.0946010368478368,0.718974331178937
"AADAC",0.0121742831877404,0.917299575709847,-0.00452031232135486,0.982560765977835,-0.102226046086946,0.767981670259118,-0.0163312255663363,0.940342954798285,0.0284762322630107,0.835286336646691,0.0290344274429165,0.867129773133953
