Gene,DPI
C2CD4D,1
CCL7,1
BCL2L14,5
CASP5,5
CXCL8,5
HBEGF,5
IRF7,5
ISG15,5
NR4A3,5
OAS1,5
BCL2L14,7
BOMV,7
CASP5,7
CCL7,7
CXCL8,7
GCH1,7
MARCO,7
MMP1,7
NR4A3,7
OAS1,7
PARP15,7
PLAC8,7
PLK3,7
BOMV,15
CCL7,15
ELANE,15
FOSL1,15
LCN2,15
MMP1,15
MPO,15
NR4A3,15
PLK3,15
CCL7,21
CXCL8,21
HBEGF,21
MMP1,21
NR4A3,21
CCL7,28
CXCL8,28
HBEGF,28
MMP1,28
